id,rank,polish,russian,part_of_speech,example_polish_1,example_russian_1,example_polish_2,example_russian_2,ukrainian,example_ukrainian_1,example_ukrainian_2
24,24,okoliczność,обстоятельство,noun,W tych okolicznościach trudno było podjąć decyzję.,В этих обстоятельствах было трудно принять решение.,Musimy wziąć pod uwagę wszystkie okoliczności.,Мы должны учесть все обстоятельства.,обставина,За цих обставин було важко прийняти рішення.,Ми повинні врахувати всі обставини.
25,25,wydarzenie,событие,noun,To było ważne wydarzenie dla całej firmy.,Это было важное событие для всей компании.,W weekend odbędzie się duże wydarzenie kulturalne.,На выходных состоится крупное культурное событие.,подія,Це була важлива подія для всієї компанії.,На вихідних відбудеться велика культурна подія.
26,26,perspektywa,перспектива,noun,Z mojej perspektywy to dobra decyzja.,С моей точки зрения это хорошее решение.,Praca w tej firmie daje ciekawe perspektywy rozwoju.,Работа в этой компании даёт интересные перспективы развития.,перспектива,З моєї перспективи це гарне рішення.,Робота в цій компанії дає цікаві перспективи розвитку.
27,27,działalność,деятельность,noun,Firma rozpoczęła działalność w 2018 roku.,Компания начала деятельность в 2018 году.,Prowadzenie działalności wymaga dużej odpowiedzialności.,Ведение деятельности требует большой ответственности.,діяльність,Компанія розпочала діяльність у 2018 році.,Ведення діяльності вимагає великої відповідальності.
28,28,przedsiębiorstwo,предприятие,noun,To przedsiębiorstwo zatrudnia ponad tysiąc osób.,Это предприятие нанимает более тысячи человек.,Przedsiębiorstwo planuje dalszy rozwój.,Предприятие планирует дальнейшее развитие.,підприємство,Це підприємство наймає понад тисячу людей.,Підприємство планує подальший розвиток.
29,29,instytucja,учреждение,noun,Ta instytucja zajmuje się pomocą cudzoziemcom.,Это учреждение занимается помощью иностранцам.,Musisz dostarczyć dokumenty do odpowiedniej instytucji.,Ты должен предоставить документы в соответствующее учреждение.,установа,Ця установа займається допомогою іноземцям.,Ви повинні надати документи до відповідної установи.
30,30,procedura,процедура,noun,Procedura uzyskania pozwolenia może potrwać kilka miesięcy.,Процедура получения разрешения может занять несколько месяцев.,Pracownicy muszą przestrzegać obowiązujących procedur.,Сотрудники должны соблюдать действующие процедуры.,процедура,Процедура отримання дозволу може тривати кілька місяців.,Працівники повинні дотримуватися чинних процедур.
31,31,szczegół,деталь,noun,Musimy omówić wszystkie szczegóły projektu.,Мы должны обсудить все детали проекта.,Nie pamiętam tego szczegółu.,Я не помню этой детали.,деталь,Ми повинні обговорити всі деталі проєкту.,Я не пам'ятаю цієї деталі.
32,32,podpis,подпись,noun,Proszę złożyć podpis na ostatniej stronie.,"Пожалуйста, поставьте подпись на последней странице.",Bez podpisu dokument jest nieważny.,Без подписи документ недействителен.,підпис,"Будь ласка, поставте підпис на останній сторінці.",Без підпису документ є недійсним.
33,33,zgoda,согласие,noun,Potrzebuję twojej zgody.,Мне нужно твоё согласие.,Rodzice wyrazili zgodę na wyjazd.,Родители дали согласие на поездку.,згода,Мені потрібна твоя згода.,Батьки висловили згоду на поїздку.
34,34,odmowa,отказ,noun,Otrzymałem odmowę wydania dokumentu.,Я получил отказ в выдаче документа.,Nie spodziewałem się takiej odmowy.,Я не ожидал такого отказа.,відмова,Я отримав відмову у видачі документа.,Я не очікував такої відмови.
35,35,wymaganie,требование,noun,To podstawowe wymaganie tego stanowiska.,Это базовое требование этой должности.,Musimy spełnić wszystkie wymagania.,Мы должны выполнить все требования.,вимога,Це основна вимога до цієї посади.,Ми повинні виконати всі вимоги.
36,36,oczekiwanie,ожидание,noun,Czas oczekiwania wynosi około miesiąca.,Срок ожидания составляет около месяца.,Nasze oczekiwania były wyższe.,Наши ожидания были выше.,очікування,Час очікування становить близько місяця.,Наші очікування були вищими.
37,37,uczestnik,участник,noun,Każdy uczestnik otrzyma certyfikat.,Каждый участник получит сертификат.,W spotkaniu było dwudziestu uczestników.,На встрече было двадцать участников.,учасник,Кожен учасник отримає сертифікат.,На зустрічі було двадцять учасників.
38,38,współpraca,сотрудничество,noun,Nasza współpraca układa się bardzo dobrze.,Наше сотрудничество складывается очень хорошо.,Firma szuka partnerów do współpracy.,Компания ищет партнёров для сотрудничества.,співпраця,Наша співпраця складається дуже добре.,Компанія шукає партнерів для співпраці.
39,39,konkurencja,конкуренция,noun,Konkurencja na rynku jest duża.,Конкуренция на рынке высокая.,Musimy obserwować działania konkurencji.,Мы должны следить за действиями конкурентов.,конкуренція,Конкуренція на ринку велика.,Ми повинні спостерігати за діями конкуренції.
40,40,rozwój,развитие,noun,Rozwój firmy przebiega zgodnie z planem.,Развитие компании идёт по плану.,Inwestujemy w rozwój pracowników.,Мы инвестируем в развитие сотрудников.,розвиток,Розвиток компанії відбувається згідно з планом.,Ми інвестуємо в розвиток співробітників.
41,41,postęp,прогресс,noun,Widać duży postęp w nauce języka.,В изучении языка виден большой прогресс.,Projekt robi postępy każdego tygodnia.,Проект продвигается каждую неделю.,поступ,Видно значний поступ у вивченні мови.,Проєкт робить поступ щотижня.
42,42,wartość,ценность,noun,Najważniejszą wartością jest zaufanie.,Самая важная ценность — доверие.,Wartość mieszkania wzrosła.,Стоимость квартиры выросла.,цінність,Найважливішою цінністю є довіра.,Вартість квартири зросла.
43,43,cel,цель,noun,Moim celem jest płynna znajomość polskiego.,Моя цель — свободное владение польским.,Musimy określić główny cel projektu.,Мы должны определить главную цель проекта.,мета,Моєю метою є вільне володіння польською.,Ми повинні визначити головну мету проєкту.
44,44,analiza,анализ,noun,Analiza danych zajęła kilka dni.,Анализ данных занял несколько дней.,Przygotowujemy analizę rynku.,Мы готовим анализ рынка.,аналіз,Аналіз даних зайняв кілька днів.,Ми готуємо аналіз ринку.
45,45,decyzja,решение,noun,To była trudna decyzja.,Это было трудное решение.,Czekamy na decyzję urzędu.,Мы ждём решения учреждения.,рішення,Це було складне рішення.,Ми чекаємо на рішення установи.
46,46,wynik,результат,noun,Wynik egzaminu był bardzo dobry.,Результат экзамена был очень хорошим.,Jesteśmy zadowoleni z wyników pracy.,Мы довольны результатами работы.,результат,Результат іспиту був дуже добрим.,Ми задоволені результатами роботи.
47,47,ocena,оценка,noun,Uczeń otrzymał wysoką ocenę.,Ученик получил высокую оценку.,Twoja ocena sytuacji jest trafna.,Твоя оценка ситуации точна.,оцінка,Учень отримав високу оцінку.,Ваша оцінка ситуації є влучною.
48,48,argument,аргумент,noun,To mocny argument za zmianą.,Это сильный аргумент в пользу изменений.,Nie zgadzam się z tym argumentem.,Я не согласен с этим аргументом.,аргумент,Це сильний аргумент на користь змін.,Я не погоджуюся з цим аргументом.
49,49,dowód,доказательство,noun,Potrzebujemy dowodu na potwierdzenie tej informacji.,Нам нужно доказательство для подтверждения этой информации.,Policja znalazła ważny dowód.,Полиция нашла важное доказательство.,доказ,Нам потрібен доказ для підтвердження цієї інформації.,Поліція знайшла важливий доказ.
50,50,propozycja,предложение,noun,Mam ciekawą propozycję.,У меня есть интересное предложение.,Rozważymy wszystkie propozycje.,Мы рассмотрим все предложения.,пропозиція,У мене є цікава пропозиція.,Ми розглянемо всі пропозиції.
51,51,udział,участие,noun,Wzięliśmy udział w ważnym spotkaniu.,Мы приняли участие в важной встрече.,Udział w kursie jest bezpłatny.,Участие в курсе бесплатное.,участь,Ми взяли участь у важливій зустрічі.,Участь у курсі є безкоштовною.
52,52,przepis,"правило, норма",noun,Musimy przestrzegać nowych przepisów.,Мы должны соблюдать новые правила.,Ten przepis dotyczy wszystkich pracowników.,Эта норма касается всех сотрудников.,правило,Ми повинні дотримуватися нових правил.,Це правило стосується всіх працівників.
53,53,przestrzegać,соблюдать,verb,Pracownicy muszą przestrzegać procedur bezpieczeństwa.,Сотрудники должны соблюдать процедуры безопасности.,"Ważne jest, żeby przestrzegać terminów.",Важно соблюдать сроки.,дотримуватися,Працівники повинні дотримуватися процедур безпеки.,Важливо дотримуватися термінів.
54,54,udowodnić,доказать,verb,Muszę udowodnić swoje doświadczenie zawodowe.,Я должен доказать свой профессиональный опыт.,Trudno udowodnić to bez dokumentów.,Трудно доказать это без документов.,довести,Я повинен довести свій професійний досвід.,Важко довести це без документів.
55,55,wyjaśnić,объяснить,verb,Czy możesz wyjaśnić mi tę decyzję?,Можешь объяснить мне это решение?,"Urzędnik wyjaśnił, jakie dokumenty są potrzebne.","Сотрудник учреждения объяснил, какие документы нужны.",пояснити,Чи можеш ти пояснити мені це рішення?,"Чиновник пояснив, які документи потрібні."
56,56,przekonać,убедить,verb,Muszę przekonać szefa do mojego pomysłu.,Я должен убедить начальника в своей идее.,Nie udało mi się go przekonać.,Мне не удалось его убедить.,переконати,Я повинен переконати керівника у своїй ідеї.,Мені не вдалося його переконати.
57,57,przyznać,"признать, предоставить",verb,"Muszę przyznać, że to był błąd.","Я должен признать, что это была ошибка.",Urząd przyznał rodzinie świadczenie.,Учреждение назначило семье пособие.,визнати,"Я мушу визнати, що це була помилка.",Установа надала родині допомогу.
58,58,unikać,избегать,verb,Staram się unikać niepotrzebnego stresu.,Я стараюсь избегать ненужного стресса.,Warto unikać błędów w dokumentach.,Стоит избегать ошибок в документах.,уникати,Я намагаюся уникати непотрібного стресу.,Варто уникати помилок у документах.
59,59,rozważać,"рассматривать, обдумывать",verb,Rozważamy zakup mieszkania w Warszawie.,Мы рассматриваем покупку квартиры в Варшаве.,Firma rozważa zmianę procedury.,Компания рассматривает изменение процедуры.,розглядати,Ми розглядаємо купівлю квартири у Варшаві.,Компанія розглядає зміну процедури.
60,60,porównywać,сравнивать,verb,Porównujemy oferty kilku banków.,Мы сравниваем предложения нескольких банков.,Nie warto porównywać swojej sytuacji z innymi.,Не стоит сравнивать свою ситуацию с другими.,порівнювати,Ми порівнюємо пропозиції кількох банків.,Не варто порівнювати свою ситуацію з іншими.
61,61,oceniać,оценивать,verb,Trudno oceniać sytuację bez wszystkich informacji.,Трудно оценивать ситуацию без всей информации.,Pracodawca ocenia wyniki pracy zespołu.,Работодатель оценивает результаты работы команды.,оцінювати,Важко оцінювати ситуацію без усієї інформації.,Роботодавець оцінює результати роботи команди.
62,62,dotrzeć,добраться,verb,Muszę dotrzeć do urzędu przed zamknięciem.,Мне нужно добраться до учреждения до закрытия.,Informacja szybko dotarła do wszystkich pracowników.,Информация быстро дошла до всех сотрудников.,"дістатися, дійти",Мені потрібно дістатися до установи до закриття.,Інформація швидко дійшла до всіх працівників.
63,63,polegać,"полагаться, заключаться",verb,Mogę polegać na moim zespole.,Я могу положиться на свою команду.,Problem polega na braku dokumentów.,Проблема заключается в отсутствии документов.,"покладатися, полягати",Я можу покладатися на свою команду.,Проблема полягає у відсутності документів.
64,64,radzić,"советовать, справляться",verb,Lekarz radzi odpoczywać przez kilka dni.,Врач советует отдохнуть несколько дней.,Coraz lepiej radzę sobie po polsku.,Я всё лучше справляюсь на польском.,"радити, давати раду",Лікар радить відпочивати кілька днів.,Я все краще даю собі раду польською.
65,65,uwaga,внимание,noun,Proszę zwrócić uwagę na termin ważności dokumentu.,"Пожалуйста, обратите внимание на срок действия документа.",Ta uwaga była bardzo przydatna.,Это замечание было очень полезным.,"увага, примітка","Будь ласка, зверніть увагу на термін дії документа.",Ця примітка була дуже корисною.
66,66,wpływać,влиять,verb,Stres może wpływać na zdrowie.,Стресс может влиять на здоровье.,Decyzje rodziców wpływają na rozwój dziecka.,Решения родителей влияют на развитие ребёнка.,впливати,Стрес може впливати на здоров'я.,Рішення батьків впливають на розвиток дитини.
67,67,zwracać,"обращать, возвращать",verb,Warto zwracać uwagę na szczegóły.,Стоит обращать внимание на детали.,Sklep zwraca pieniądze za uszkodzony produkt.,Магазин возвращает деньги за повреждённый товар.,"звертати, повертати",Варто звертати увагу на деталі.,Магазин повертає гроші за пошкоджений товар.
68,68,przyzwyczaić,привыкнуть,verb,Trudno było mi przyzwyczaić się do nowego miasta.,Мне было трудно привыкнуть к новому городу.,Dziecko szybko przyzwyczaiło się do przedszkola.,Ребёнок быстро привык к детскому саду.,звикнути,Мені було важко звикнути до нового міста.,Дитина швидко звикла до дитячого садка.
69,69,rezygnować,отказываться,verb,Nie chcę rezygnować z nauki języka.,Я не хочу отказываться от изучения языка.,Firma rezygnuje z tej usługi.,Компания отказывается от этой услуги.,відмовлятися,Я не хочу відмовлятися від вивчення мови.,Компанія відмовляється від цієї послуги.
70,70,korzystać,пользоваться,verb,Codziennie korzystam z aplikacji bankowej.,Я каждый день пользуюсь банковским приложением.,Możesz korzystać z tej usługi bezpłatnie.,Ты можешь пользоваться этой услугой бесплатно.,користуватися,Щодня користуюся банківським додатком.,Ви можете користуватися цією послугою безкоштовно.
71,71,ubiegać,"подаваться, ходатайствовать",verb,Możesz ubiegać się o dofinansowanie.,Ты можешь податься на финансирование.,Cudzoziemiec ubiega się o zezwolenie na pobyt.,Иностранец подаётся на разрешение на пребывание.,"подавати заяву, клопотати",Ви можете подати заяву на отримання фінансування.,Іноземець подає заяву на дозвіл на проживання.
72,72,podlegać,подлежать,verb,Ten dochód podlega opodatkowaniu.,Этот доход подлежит налогообложению.,Dokumenty podlegają weryfikacji.,Документы подлежат проверке.,підлягати,Цей дохід підлягає оподаткуванню.,Документи підлягають перевірці.
73,73,obejmować,"охватывать, включать",verb,Umowa obejmuje dodatkowe ubezpieczenie.,Договор включает дополнительную страховку.,Program obejmuje kilka poziomów nauki.,Программа охватывает несколько уровней обучения.,"охоплювати, включати",Угода включає додаткове страхування.,Програма охоплює кілька рівнів навчання.
74,74,wynikać,"следовать, вытекать",verb,"Z dokumentu wynika, że decyzja jest pozytywna.","Из документа следует, что решение положительное.",Problem wynika z braku informacji.,Проблема возникает из-за отсутствия информации.,"випливати, виникати","З документа випливає, що рішення позитивне.",Проблема виникає через відсутність інформації.
75,75,przewidywać,"предполагать, предусматривать",verb,Umowa przewiduje możliwość pracy zdalnej.,Договор предусматривает возможность удалённой работы.,Trudno przewidzieć wynik tej sprawy.,Трудно предсказать результат этого дела.,передбачати,Угода передбачає можливість віддаленої роботи.,Важко передбачити результат цієї справи.
76,76,udostępniać,"предоставлять, делиться",verb,Urząd udostępnia formularze online.,Учреждение предоставляет формуляры онлайн.,Nie udostępniaj swoich danych obcym osobom.,Не передавай свои данные посторонним людям.,"надавати, ділитися",Установа надає онлайн-форми.,Не надавайте свої дані стороннім особам.
77,77,zapewniać,обеспечивать,verb,Pracodawca zapewnia szkolenie nowym pracownikom.,Работодатель обеспечивает обучение новым сотрудникам.,System zapewnia bezpieczeństwo danych.,Система обеспечивает безопасность данных.,забезпечувати,Роботодавець забезпечує навчання новим працівникам.,Система забезпечує безпеку даних.
78,78,potwierdzać,подтверждать,verb,Muszę potwierdzić swoją tożsamość.,Я должен подтвердить свою личность.,Dokument potwierdza moje zatrudnienie.,Документ подтверждает моё трудоустройство.,підтверджувати,Мені потрібно підтвердити свою особу.,Документ підтверджує моє працевлаштування.
79,79,odrzucić,отклонить,verb,Bank odrzucił mój wniosek kredytowy.,Банк отклонил моё кредитное заявление.,Nie warto odrzucić tej propozycji bez rozmowy.,Не стоит отклонять это предложение без разговора.,відхилити,Банк відхилив мою кредитну заявку.,Не варто відхиляти цю пропозицію без розмови.
80,80,zatwierdzić,утвердить,verb,Kierownik zatwierdził plan projektu.,Руководитель утвердил план проекта.,Wniosek został zatwierdzony przez urząd.,Заявление было утверждено учреждением.,затвердити,Керівник затвердив план проєкту.,Заявка була затверджена установою.
81,81,przedłużyć,продлить,verb,Chcę przedłużyć umowę najmu.,Я хочу продлить договор аренды.,Muszę przedłużyć ważność dokumentu.,Мне нужно продлить срок действия документа.,продовжити,Я хочу продовжити договір оренди.,Мені потрібно продовжити термін дії документа.
82,82,wygasać,истекать,verb,Moje pozwolenie wygasa w grudniu.,Моё разрешение истекает в декабре.,Umowa wygasa z końcem miesiąca.,Договор истекает в конце месяца.,закінчуватися,Мій дозвіл закінчується в грудні.,Договір закінчується наприкінці місяця.
83,83,obowiązywać,действовать,verb,Nowe przepisy obowiązują od stycznia.,Новые правила действуют с января.,Promocja obowiązuje tylko do końca tygodnia.,Акция действует только до конца недели.,діяти,Нові правила діють з січня.,Акція діє лише до кінця тижня.
84,84,meldunek,регистрация,noun,Do wniosku potrzebny jest meldunek.,Для заявления нужна регистрация.,Nie każdy cudzoziemiec ma stały meldunek.,Не у каждого иностранца есть постоянная регистрация.,реєстрація,Для заяви потрібна реєстрація.,Не кожен іноземець має постійну реєстрацію.
85,85,pobyt,пребывание,noun,Złożyłem wniosek o zezwolenie na pobyt.,Я подал заявление на разрешение на пребывание.,Legalny pobyt jest ważny przy wielu formalnościach.,Легальное пребывание важно при многих формальностях.,перебування,Я подав заяву на дозвіл на перебування.,Легальне перебування важливе для багатьох формальностей.
86,86,obywatelstwo,гражданство,noun,Chcę dowiedzieć się więcej o obywatelstwie.,Я хочу узнать больше о гражданстве.,Obywatelstwo można uzyskać po spełnieniu warunków.,Гражданство можно получить после выполнения условий.,громадянство,Я хочу дізнатися більше про громадянство.,Громадянство можна отримати після виконання умов.
87,87,zezwolenie,разрешение,noun,Czekam na zezwolenie na pobyt.,Я жду разрешение на пребывание.,Zezwolenie jest ważne przez trzy lata.,Разрешение действительно три года.,дозвіл,Я чекаю на дозвіл на перебування.,Дозвіл дійсний протягом трьох років.
88,88,zaświadczenie,справка,noun,Potrzebuję zaświadczenia o zatrudnieniu.,Мне нужна справка о трудоустройстве.,Lekarz wystawił zaświadczenie dla pracodawcy.,Врач выдал справку для работодателя.,довідка,Мені потрібна довідка про працевлаштування.,Лікар видав довідку для роботодавця.
89,89,opłata,"оплата, сбор",noun,Opłatę trzeba zrobić przelewem.,Оплату нужно сделать банковским переводом.,Wysokość opłaty zależy od rodzaju wniosku.,Размер сбора зависит от типа заявления.,оплата,Оплату потрібно здійснити переказом.,Розмір оплати залежить від типу заяви.
90,90,formularz,"формуляр, бланк",noun,Muszę wypełnić formularz online.,Я должен заполнить формуляр онлайн.,Formularz jest dostępny na stronie urzędu.,Бланк доступен на сайте учреждения.,бланк,Мені потрібно заповнити бланк онлайн.,Бланк доступний на сайті установи.
91,91,sprawa,"дело, вопрос",noun,Chcę zapytać o status mojej sprawy.,Я хочу спросить о статусе моего дела.,Ta sprawa jest dla mnie bardzo ważna.,Этот вопрос для меня очень важен.,справа,Я хочу запитати про статус моєї справи.,Ця справа для мене дуже важлива.
92,92,termin,"срок, дата",noun,Mam termin wizyty na przyszły tydzień.,У меня дата визита на следующую неделю.,Nie możemy przekroczyć tego terminu.,Мы не можем превысить этот срок.,термін,У мене призначена дата візиту на наступний тиждень.,Ми не можемо перевищити цей термін.
93,93,umowa,договор,noun,Podpisałem nową umowę o pracę.,Я подписал новый трудовой договор.,Przed podpisaniem umowy trzeba ją dokładnie przeczytać.,Перед подписанием договора нужно внимательно его прочитать.,договір,Я підписав новий трудовий договір.,Перед підписанням договору потрібно його уважно прочитати.
94,94,wynagrodzenie,"зарплата, вознаграждение",noun,Wynagrodzenie jest wypłacane raz w miesiącu.,Зарплата выплачивается один раз в месяц.,W umowie podano wysokość wynagrodzenia.,В договоре указали размер зарплаты.,винагорода,Винагорода виплачується раз на місяць.,У договорі зазначено розмір винагороди.
95,95,stanowisko,"должность, позиция",noun,Aplikuję na stanowisko specjalisty.,Я подаюсь на должность специалиста.,Moje stanowisko wiąże się z dużą odpowiedzialnością.,Моя должность связана с большой ответственностью.,посада,Я подаю заявку на посаду спеціаліста.,Моя посада пов'язана з великою відповідальністю.
96,96,zawodowy,профессиональный,adjective,Mam pięć lat doświadczenia zawodowego.,У меня пять лет профессионального опыта.,Rozwój zawodowy jest dla mnie ważny.,Профессиональное развитие для меня важно.,професійний,Я маю п'ять років професійного досвіду.,Професійний розвиток для мене важливий.
97,97,kwalifikacje,квалификация,noun,To stanowisko wymaga odpowiednich kwalifikacji.,Эта должность требует соответствующей квалификации.,Chcę podnieść swoje kwalifikacje.,Я хочу повысить свою квалификацию.,кваліфікація,Ця посада вимагає відповідної кваліфікації.,Я хочу підвищити свою кваліфікацію.
98,98,szkolenie,"обучение, тренинг",noun,Firma organizuje szkolenie dla pracowników.,Компания организует обучение для сотрудников.,Po szkoleniu otrzymasz certyfikat.,После обучения ты получишь сертификат.,навчання,Компанія організовує навчання для працівників.,Після навчання ви отримаєте сертифікат.
99,99,awans,повышение,noun,Otrzymałem awans po roku pracy.,Я получил повышение после года работы.,Awans wiąże się z większą odpowiedzialnością.,Повышение связано с большей ответственностью.,підвищення,Я отримав підвищення після року роботи.,Підвищення пов'язане з більшою відповідальністю.
100,100,pracodawca,работодатель,noun,Pracodawca powinien jasno określić obowiązki.,Работодатель должен чётко определить обязанности.,Mój pracodawca oferuje prywatne ubezpieczenie zdrowotne.,Мой работодатель предлагает частную медицинскую страховку.,роботодавець,Роботодавець повинен чітко визначити обов'язки.,Мій роботодавець пропонує приватне медичне страхування.
101,101,pracownik,сотрудник,noun,To słowo pojawia się często w pracy i codziennym życiu.,Это слово часто встречается в работе и повседневной жизни.,Warto dobrze rozumieć pojęcie: pracownik.,Стоит хорошо понимать понятие: сотрудник.,працівник,Це слово часто зустрічається в роботі та повсякденному житті.,Варто добре розуміти поняття: працівник.
102,102,zatrudniać,нанимать,verb,To słowo pojawia się często w pracy i codziennym życiu.,Это слово часто встречается в работе и повседневной жизни.,Warto dobrze rozumieć pojęcie: zatrudniać.,Стоит хорошо понимать понятие: нанимать.,наймати,Це слово часто зустрічається в роботі та повсякденному житті.,Варто добре розуміти поняття: наймати.
